designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4472831271937522304,4472831271937522304,269.44615954748065,4.6779029255430284,-0.07512348256970308,-6.82182901269454,-11.35589624127912,1.0138123,19.059145,0.96206856,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472831271937525376,4472831271937525376,269.444092832139,4.6783787294314365,0.28740659967153465,-3.6374586499781825,-3.8807361507398457,1.0182931,17.72899,1.1247349,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4779.4355,4.8715,-1.8193,1136.8925,0.0177,0.014,0.0076
Gaia DR3 4472831271937537152,4472831271937537152,269.4456071270162,4.679982511569657,0.5849160783048543,3.2264096021527235,-9.396395989074938,0.9139198,17.146868,1.1976643,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4808.791,4.6641,-0.3811,1223.9208,0.1628,0.1279,0.0678
Gaia DR3 4472831271937550208,4472831271937550208,269.4524361922529,4.682329928392552,-0.14020683980591758,0.31807775799171306,-6.25109682473576,1.0785906,20.000343,1.3405323,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472831271937553408,4472831271937553408,269.4507280730922,4.682760238556604,-0.26935648911129867,1.0779304453021714,-1.7894363040502363,1.014229,19.626888,1.2689915,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472831271937565696,4472831271937565696,269.4479920861193,4.683307048331029,0.5983634572293447,-7.57861554331526,-3.2852289756842548,0.909215,16.50214,1.0382557,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5309.7295,4.6743,-0.8448,1080.0193,0.2933,0.2393,0.1295
Gaia DR3 4472831271937565824,4472831271937565824,269.44939022331124,4.68450670993237,0.18872761876919203,-2.6189236170939676,-7.189533392127965,1.0412812,18.03205,1.0239716,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5039.4487,4.7732,-1.5146,1788.4662,0.0118,0.0095,0.0051
Gaia DR3 4472831271945457920,4472831271945457920,269.44577007214406,4.6791665352993945,-0.19116411938611524,2.3096019803279026,-4.005134467013823,0.93684274,19.455526,1.3741245,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472831271945519744,4472831271945519744,269.454874428971,4.680798923805018,0.2442089443432657,0.27584079375856513,0.3833495984714141,1.0060395,20.230024,2.4303474,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472831271945535744,4472831271945535744,269.4571277935572,4.679759664498484,-1.9979851860274151,-3.512608984873919,-5.36358066979521,1.216937,20.629969,2.3556213,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
