i j mag1 mag2 br1 br2 ex23 ey23 ez23 ox23 oy23 oz23 plx23 a3 b3 a2 b2 a1 b1
1 1 0 11 -1 0.5 0.189 0.171 0.009 0.059 0.1175 0.0375 -0.0435 1 0 1 0 1 0
1 2 0 11 0.5 0.75 0.183 0.171 0.017 0.0675 0.1375 0.0425 -0.043 1 0 1 0 1 0
1 3 0 11 0.75 1 0.185 0.1725 0.0225 0.0625 0.1075 0.0275 -0.045 1 0 1 0 1 0
1 4 0 11 1 1.25 0.181 0.151 0.029 0.0775 0.1275 0.0125 -0.033 1 0 1 0 1 0
1 5 0 11 1.25 1.5 0.183 0.177 0.027 0.081 0.1325 0.0225 -0.0305 1 0 1 0 1 0
1 6 0 11 1.5 1.75 0.1735 0.175 0.025 0.065 0.143 0.015 -0.0225 1 0 1 0 1 0
1 7 0 11 1.75 2 0.18625 0.12225 0.0155 0.0995 0.0645 0.0375 -0.02375 1 0 1 0 1 0
2 1 11 12 -1 0.5 0.2245 0.1975 0.0395 0.039 0.139 0.009 -5e-04 1 0 1 0 1 0
2 2 11 12 0.5 0.75 0.2165 0.201 0.045 0.045 0.1225 0.015 -0.0105 1 0 1 0 1 0
2 3 11 12 0.75 1 0.203 0.195 0.027 0.045 0.1325 -0.0275 -0.015 1 0 1 0 1 0
2 4 11 12 1 1.25 0.205 0.199 0.043 0.053 0.135 -0.0225 -0.0235 1 0 1 0 1 0
2 5 11 12 1.25 1.5 0.2035 0.191 0.035 0.047 0.121 -0.003 -0.0295 1 0 1 0 1 0
2 6 11 12 1.5 1.75 0.2095 0.175 0.0235 0.0585 0.123 -0.029 -0.0325 1 0 1 0 1 0
3 1 12 13 -1 0.5 0.2195 0.1825 0.0495 0.023 0.141 -0.007 -0.0125 1 0 1 0 1 0
3 2 12 13 0.5 0.75 0.2005 0.1815 0.0485 0.025 0.135 -0.011 -0.0245 1 0 1 0 1 0
3 3 12 13 0.75 1 0.1955 0.181 0.043 0.013 0.143 -0.021 -0.0325 1 0 1 0 1 0
3 4 12 13 1 1.25 0.193 0.181 0.047 0.027 0.129 -0.015 -0.0385 1 0 1 0 1 0
3 5 12 13 1.25 1.5 0.1985 0.183 0.053 0.027 0.127 -0.017 -0.0405 1 0 1 0 1 0
3 6 12 13 1.5 1.75 0.2005 0.193 0.047 0.017 0.131 -0.031 -0.0475 1 0 1 0 1 0
3 7 12 13 1.75 2 0.217 0.189 0.057 0.039 0.145 0.013 -0.0495 1 0 1 0 1 0
3 8 12 13 2 7 0.2265 0.1935 0.0395 0.0375 0.095 -0.043 -0.0345 1 0 1 0 1 0
4 1 13 14 -1 0.5 0.055 -0.00499999999999998 0.00750000000000001 -0.0175 0.041 -0.00750000000000001 -0.0175 1 0 1 0 1 0
4 2 13 14 0.5 0.75 0.0525 -0.0135 0.0125 -0.0155 0.043 -0.0075 -0.01575 1 0 1 0 1 0
4 3 13 14 0.75 1 0.0455 -0.0125 0.0125 -0.005 0.035 -0.007 -0.01675 1 0 1 0 1 0
4 4 13 14 1 1.25 0.0475 -0.023 0.005 -0.013 0.041 -0.0025 -0.0195 1 0 1 0 1 0
4 5 13 14 1.25 1.5 0.0475 -0.0215 0.005 -0.015 0.041 -0.00749999999999999 -0.0175 1 0 1 0 1 0
4 6 13 14 1.5 1.75 0.047 -0.017 0.011 -0.001 0.047 -0.0075 -0.0215 1 0 1 0 1 0
4 7 13 14 1.75 2 0.0505 -0.0225 0.009 -0.001 0.031 0.0125 -0.0145 1 0 1 0 1 0
4 8 13 14 2 7 0.0565 -0.017 0.011 0.005 0.0225 0.00700000000000001 -0.0185 1 0 1 0 1 0
5 2 14 15 0.5 0.75 0.05475 -0.0135 0.01125 -0.0065 0.0495 -0.0035 -0.01475 1 0 1 0 1 0
5 3 14 15 0.75 1 0.0545 -0.0135 -0.0015 5e-04 0.043 -0.007 -0.01675 1 0 1 0 1 0
5 4 14 15 1 1.25 0.0525 -0.0215 0.007 0.003 0.047 -0.005 -0.0155 1 0 1 0 1 0
5 5 14 15 1.25 1.5 0.0555 -0.015 -0.000999999999999997 0.011 0.049 -0.007 -0.0165 1 0 1 0 1 0
