i j mag1 mag2 br1 br2 ex23 ey23 ez23 ox23 oy23 oz23 plx23 a3 b3 a2 b2 a1 b1
1 1 0 7 -1 0 0.5 0.25 0.25 0.25 0.100000000000001 0.25 -0.1 1 0 1 0 1 0
1 2 0 7 0 0.5 0.213 0.163 0.007 0.127 0.133 0.0225 -0.0665 1 0 1 0 1 0
1 3 0 7 0.5 1 0.25 0.25 0.25 0.25 0.1 0.1 -0.0499999999999999 1 0 1 0 1 0
1 4 0 7 1 1.5 0.157 0.203 0.043 0.061 0.141 0.025 -0.02525 1 0 1 0 1 0
1 5 0 7 1.5 2 0.1605 0.1925 0.0365 0.077 0.1225 0.017 -0.01375 1 0 1 0 1 0
1 6 0 7 2 7 0.1725 0.1625 0.0295 0.107 0.093 0.035 0.0045 1 0 1 0 1 0
2 1 7 8 -1 0 0.25 0.5 -0.5 0.15 0.100000000000001 0.1 -0.05 1 0 1 0 1 0
2 2 7 8 0 0.5 0.221 0.163 0.000999999999999997 0.109 0.131 0.041 -0.0615 1 0 1 0 1 0
2 3 7 8 0.5 1 0.1995 0.1875 0.025 0.095 0.123 0.033 -0.04525 1 0 1 0 1 0
2 4 7 8 1 1.5 0.1705 0.1985 0.039 0.073 0.127 0.027 -0.02725 1 0 1 0 1 0
2 5 7 8 1.5 2 0.1735 0.1875 0.0395 0.077 0.1115 0.027 -0.01425 1 0 1 0 1 0
2 6 7 8 2 7 0.1935 0.1555 0.0265 0.1195 0.077 0.023 0.0065 1 0 1 0 1 0
3 1 8 9 -1 0 0.3 0.0999999999999996 -0.5 0.150000000000001 0.15 0.100000000000001 -0.075 1 0 1 0 1 0
3 2 8 9 0 0.5 0.1985 0.1575 0.011 0.099 0.113 0.0225 -0.0515 1 0 1 0 1 0
3 3 8 9 0.5 1 0.179 0.1725 0.0275 0.085 0.115 0.039 -0.0335 1 0 1 0 1 0
3 4 8 9 1 1.5 0.1675 0.1805 0.0315 0.075 0.1205 0.025 -0.02475 1 0 1 0 1 0
3 5 8 9 1.5 2 0.1695 0.1635 0.0285 0.0885 0.109 0.015 -0.01375 1 0 1 0 1 0
3 6 8 9 2 7 0.1945 0.1395 0.0115 0.123 0.0735 0.007 0.0065 1 0 1 0 1 0
4 1 9 10 -1 0 0.15 0.1 0.1 0.05 0.1 0.05 -0.07 1 0 1 0 1 0
4 2 9 10 0 0.5 0.1935 0.1465 0.027 0.089 0.113 0.035 -0.0545 1 0 1 0 1 0
4 3 9 10 0.5 1 0.1735 0.1605 0.033 0.079 0.111 0.047 -0.0385 1 0 1 0 1 0
4 4 9 10 1 1.5 0.1665 0.1645 0.0305 0.077 0.125 0.041 -0.02375 1 0 1 0 1 0
4 5 9 10 1.5 2 0.171 0.1525 0.0175 0.1025 0.123 0.0225 -0.0215 1 0 1 0 1 0
4 6 9 10 2 7 0.18225 0.12725 0.000249999999999999 0.1075 0.0945 0.0295 0.01525 1 0 1 0 1 0
5 2 10 20 0 0.5 0.25 0.1 0.25 0.0500000000000003 0.15 0.1 -0.05 1 0 1 0 1 0
5 3 10 20 0.5 1 0.1875 0.173 0.0325 0.0625 0.119 0.0325 -0.0345 1 0 1 0 1 0
5 4 10 20 1 1.5 0.25 0.5 0.25 0.1 0.25 0.25 -0.1 1 0 1 0 1 0
5 5 10 20 1.5 2 0.15 0.25 0.25 0.05 0.1 0.05 -0.03 1 0 1 0 1 0
